,document,EHRI-ET-ZIH3010965_EN.xml,EHRI-ET-ZIH3010884_EN.xml,EHRI-ET-ZIH3011129_EN.xml,EHRI-ET-ZIH3010081_EN.xml,EHRI-ET-ZIH3011713_EN.xml,EHRI-ET-ZIH3011538_EN.xml,EHRI-ET-ZIH3010945_EN.xml,EHRI-ET-ZIH3010191_EN.xml,EHRI-ET-ZIH3010481_EN.xml,EHRI-ET-ZIH3010805_EN.xml,EHRI-ET-ZIH3010905_EN.xml,EHRI-ET-ZIH3010014_EN.xml,EHRI-ET-ZIH3010106_EN.xml,EHRI-ET-ZIH3010002_EN.xml,EHRI-ET-ZIH3011116_EN.xml,EHRI-ET-ZIH3010201_EN.xml,EHRI-ET-ZIH3011649_EN.xml,EHRI-ET-ZIH3010203_EN.xml,EHRI-ET-ZIH3011169_EN.xml,EHRI-ET-ZIH3010012_EN.xml,EHRI-ET-DEGOB1178_EN.xml,EHRI-ET-DEGOB0594_EN.xml,EHRI-ET-DEGOB1459_EN.xml,EHRI-ET-DEGOB0005_EN.xml,EHRI-ET-DEGOB1359_EN.xml,EHRI-ET-DEGOB0701_EN.xml,EHRI-ET-DEGOB0099_EN.xml,EHRI-ET-DEGOB1640_EN.xml,EHRI-ET-DEGOB0884_EN.xml,EHRI-ET-DEGOB0748_EN.xml,EHRI-ET-DEGOB2719_EN.xml,EHRI-ET-DEGOB0090_EN.xml,EHRI-ET-DEGOB0651_EN.xml,EHRI-ET-DEGOB0086_EN.xml,EHRI-ET-DEGOB2830_EN.xml,EHRI-ET-JMP011_EN.xml,EHRI-ET-JMP003_EN.xml,EHRI-ET-JMP001_EN.xml,EHRI-ET-JMP013_EN.xml,EHRI-ET-JMP017_EN.xml,EHRI-ET-JMP009_EN.xml,EHRI-ET-JMP005_EN.xml,EHRI-ET-JMP019_EN.xml,EHRI-ET-JMP007_EN.xml,EHRI-ET-JMP015_EN.xml,EHRI-ET-JMP010_EN.xml,EHRI-ET-JMP002_EN.xml,EHRI-ET-JMP012_EN.xml,EHRI-ET-JMP008_EN.xml,EHRI-ET-JMP016_EN.xml,EHRI-ET-JMP004_EN.xml,EHRI-ET-JMP020_EN.xml,EHRI-ET-JMP006_EN.xml,EHRI-ET-JMP018_EN.xml,EHRI-ET-JMP014_EN.xml
25,,0.35242,0.36313,0.30839,0.44034,0.33415,0.3565,0.30605,0.41395,0.35015,0.34259,0.32027,0.52536,0.42687,0.36851,0.41095,0.22596,0.2553,0.36514,0.49242,0.36716,0.54878,0.51202,0.58281,0.49225,0.60454,1.0,0.46137,0.5909,0.58094,0.43388,0.57954,0.64081,0.5592,0.56543,0.615,0.41611,0.27381,0.54819,0.45729,0.30387,0.37858,0.25306,0.35447,0.20566,0.24031,0.49475,0.48596,0.47948,0.39552,0.55333,0.30488,0.15192,0.26442,0.48988,0.34398
26,,0.33567,0.40118,0.39778,0.42163,0.31764,0.3515,0.3529,0.4859,0.36369,0.42366,0.35882,0.39855,0.37863,0.35741,0.369,0.20981,0.32752,0.31858,0.43951,0.35159,0.41301,0.49268,0.52518,0.4875,0.55902,0.46137,1.0,0.39989,0.36276,0.37757,0.41145,0.5277,0.48354,0.5293,0.54236,0.40123,0.26447,0.34869,0.33258,0.17946,0.31463,0.2531,0.26857,0.31286,0.26772,0.29575,0.43182,0.40052,0.34517,0.38705,0.11404,0.13013,0.19926,0.43397,0.25102
27,,0.3752,0.39531,0.42397,0.46686,0.35603,0.345,0.37492,0.41021,0.37684,0.41113,0.27455,0.54766,0.47702,0.37966,0.40487,0.2817,0.34487,0.37515,0.51289,0.43445,0.65313,0.54843,0.66678,0.57422,0.60486,0.5909,0.39989,1.0,0.5934,0.56289,0.67131,0.69724,0.62886,0.71638,0.68143,0.42934,0.30678,0.57231,0.37907,0.31953,0.50186,0.17659,0.41797,0.15148,0.26329,0.32871,0.50031,0.55788,0.43314,0.6399,0.24598,0.23704,0.38754,0.52366,0.3779
28,,0.40742,0.36464,0.35534,0.4369,0.36176,0.38216,0.35957,0.39257,0.3454,0.35775,0.26229,0.51484,0.47799,0.37618,0.40204,0.27739,0.30729,0.31594,0.45883,0.40526,0.55279,0.50782,0.58806,0.53459,0.64183,0.58094,0.36276,0.5934,1.0,0.49584,0.59127,0.64401,0.54163,0.6379,0.57408,0.42996,0.34864,0.51272,0.37468,0.39721,0.40126,0.27351,0.46362,0.19074,0.24232,0.45416,0.56769,0.47115,0.43643,0.59734,0.22078,0.22474,0.40507,0.5249,0.34681
29,,0.36045,0.29972,0.3219,0.33847,0.27695,0.33842,0.31933,0.36866,0.35529,0.42961,0.3014,0.42585,0.41898,0.27885,0.31475,0.19564,0.3067,0.27747,0.39225,0.351,0.47989,0.45013,0.48328,0.47066,0.55651,0.43388,0.37757,0.56289,0.49584,1.0,0.52868,0.53642,0.62792,0.52099,0.55531,0.28808,0.25571,0.45237,0.31373,0.24697,0.37164,0.20428,0.30897,0.1296,0.2056,0.28614,0.44466,0.44517,0.32219,0.48617,0.2191,0.13406,0.26442,0.35708,0.27933
30,,0.38028,0.36338,0.4024,0.41391,0.33414,0.32391,0.31484,0.34107,0.34571,0.30278,0.25454,0.44229,0.42766,0.29203,0.35567,0.25765,0.27448,0.30465,0.39783,0.38746,0.63199,0.58439,0.59627,0.4585,0.57619,0.57954,0.41145,0.67131,0.59127,0.52868,1.0,0.63496,0.60924,0.64097,0.69899,0.39895,0.29463,0.58041,0.37252,0.25711,0.47005,0.18602,0.39232,0.1766,0.17371,0.30411,0.47225,0.50988,0.45955,0.68903,0.20761,0.19967,0.34632,0.4436,0.33684
31,,0.43261,0.43636,0.44137,0.50181,0.42187,0.42499,0.41972,0.49722,0.44008,0.42671,0.33995,0.63127,0.56581,0.46864,0.47511,0.28066,0.36327,0.4292,0.56161,0.47704,0.66825,0.58895,0.71933,0.63624,0.75073,0.64081,0.5277,0.69724,0.64401,0.53642,0.63496,1.0,0.65801,0.76839,0.71936,0.4982,0.36727,0.59803,0.42463,0.3733,0.50253,0.29622,0.51849,0.23432,0.28742,0.48721,0.58712,0.59617,0.4819,0.67082,0.27763,0.2253,0.41179,0.61892,0.40925
32,,0.39432,0.41142,0.36291,0.41901,0.34323,0.46685,0.39572,0.43008,0.38757,0.40583,0.33721,0.50019,0.4783,0.34882,0.37698,0.24648,0.33161,0.34001,0.49752,0.42952,0.60459,0.54985,0.61363,0.51335,0.62727,0.5592,0.48354,0.62886,0.54163,0.62792,0.60924,0.65801,1.0,0.62004,0.7051,0.36893,0.31137,0.5495,0.40261,0.30273,0.43137,0.26929,0.40817,0.15916,0.28582,0.35849,0.50033,0.53001,0.4036,0.57808,0.20882,0.17052,0.3258,0.48036,0.32317
33,,0.43325,0.49046,0.47787,0.46722,0.4541,0.41899,0.43245,0.49467,0.43668,0.46329,0.3474,0.57769,0.55585,0.44326,0.52763,0.29413,0.35989,0.37604,0.5449,0.50155,0.65167,0.60185,0.7331,0.67745,0.71679,0.56543,0.5293,0.71638,0.6379,0.52099,0.64097,0.76839,0.62004,1.0,0.69745,0.47404,0.37865,0.57084,0.37392,0.32746,0.53104,0.26942,0.48583,0.22577,0.29452,0.35405,0.58562,0.56845,0.48963,0.64662,0.22312,0.23721,0.43352,0.57288,0.40807
34,,0.44622,0.41579,0.3969,0.52625,0.39262,0.39614,0.38103,0.41045,0.39248,0.39652,0.35964,0.525,0.49904,0.37417,0.37614,0.28973,0.33685,0.40017,0.50009,0.42444,0.67128,0.64735,0.70092,0.59332,0.67324,0.615,0.54236,0.68143,0.57408,0.55531,0.69899,0.71936,0.7051,0.69745,1.0,0.46875,0.35423,0.57964,0.41503,0.26824,0.48502,0.22977,0.41351,0.19697,0.27173,0.32736,0.49067,0.56435,0.45575,0.6396,0.20444,0.2151,0.39667,0.55777,0.37966
35,,0.37749,0.38696,0.41602,0.46712,0.3274,0.26669,0.37747,0.38556,0.25948,0.31233,0.25034,0.54902,0.4356,0.4891,0.31023,0.24631,0.31825,0.37883,0.41905,0.37375,0.38659,0.42363,0.47828,0.39421,0.47316,0.41611,0.40123,0.42934,0.42996,0.28808,0.39895,0.4982,0.36893,0.47404,0.46875,1.0,0.39383,0.44688,0.39552,0.3023,0.39116,0.32338,0.42987,0.32578,0.28666,0.45016,0.49513,0.5087,0.61456,0.47552,0.23537,0.34393,0.37593,0.52717,0.31429
36,,0.21053,0.31489,0.29687,0.18441,0.29033,0.15762,0.22025,0.23974,0.23102,0.28068,0.25986,0.28051,0.2805,0.28658,0.32083,0.1487,0.1508,0.16251,0.26248,0.29771,0.2914,0.27033,0.29878,0.24099,0.35305,0.27381,0.26447,0.30678,0.34864,0.25571,0.29463,0.36727,0.31137,0.37865,0.35423,0.39383,1.0,0.32312,0.27097,0.19971,0.3973,0.22126,0.28638,0.16317,0.23505,0.26775,0.42621,0.38617,0.36187,0.34854,0.14018,0.17457,0.35241,0.28492,0.27068
37,,0.44314,0.3189,0.3603,0.50473,0.28014,0.42294,0.39552,0.34168,0.30713,0.31629,0.23208,0.56274,0.48806,0.31189,0.32282,0.2439,0.2523,0.38709,0.46873,0.38066,0.5049,0.47015,0.57033,0.49756,0.55924,0.54819,0.34869,0.57231,0.51272,0.45237,0.58041,0.59803,0.5495,0.57084,0.57964,0.44688,0.32312,1.0,0.54186,0.41481,0.45165,0.32149,0.54804,0.17578,0.32213,0.40138,0.55951,0.59823,0.41903,0.67283,0.3035,0.20341,0.40381,0.48458,0.43785
38,,0.46878,0.23492,0.32328,0.50145,0.22705,0.51438,0.32488,0.3716,0.2938,0.28568,0.24885,0.57025,0.43543,0.32162,0.32972,0.18374,0.18633,0.34971,0.46279,0.33138,0.3464,0.33101,0.45303,0.45907,0.50013,0.45729,0.33258,0.37907,0.37468,0.31373,0.37252,0.42463,0.40261,0.37392,0.41503,0.39552,0.27097,0.54186,1.0,0.32826,0.37118,0.34122,0.41769,0.20814,0.30346,0.52643,0.5312,0.45495,0.33836,0.50704,0.36721,0.12968,0.29674,0.51845,0.39934
39,,0.37446,0.21835,0.24763,0.39562,0.17121,0.29564,0.34765,0.23864,0.19366,0.19536,0.16434,0.46771,0.491,0.33587,0.2029,0.20708,0.23509,0.23711,0.43036,0.24896,0.29909,0.25053,0.32727,0.29755,0.3184,0.30387,0.17946,0.31953,0.39721,0.24697,0.25711,0.3733,0.30273,0.32746,0.26824,0.3023,0.19971,0.41481,0.32826,1.0,0.25875,0.37029,0.62711,0.11333,0.29856,0.42764,0.43677,0.36773,0.28791,0.46351,0.24586,0.19714,0.39542,0.44718,0.36303
40,,0.32099,0.36481,0.41761,0.34022,0.34203,0.34267,0.28817,0.29461,0.28506,0.32688,0.27702,0.36005,0.3432,0.32965,0.42172,0.20907,0.21017,0.2007,0.32218,0.37509,0.44512,0.36992,0.49617,0.40725,0.47482,0.37858,0.31463,0.50186,0.40126,0.37164,0.47005,0.50253,0.43137,0.53104,0.48502,0.39116,0.3973,0.45165,0.37118,0.25875,1.0,0.2071,0.38033,0.14459,0.16145,0.30385,0.48716,0.48543,0.40459,0.53472,0.16415,0.18711,0.37047,0.39182,0.33382
41,,0.32175,0.11726,0.19246,0.29637,0.16982,0.26381,0.25763,0.26631,0.20134,0.19565,0.16812,0.38309,0.35891,0.23843,0.17819,0.20303,0.27955,0.15399,0.32008,0.2544,0.25306,0.20679,0.24309,0.25604,0.33124,0.25306,0.2531,0.17659,0.27351,0.20428,0.18602,0.29622,0.26929,0.26942,0.22977,0.32338,0.22126,0.32149,0.34122,0.37029,0.2071,1.0,0.42067,0.17629,0.35857,0.42197,0.43546,0.32229,0.29612,0.30244,0.20405,0.11764,0.31192,0.30436,0.20353
42,,0.48913,0.29494,0.3405,0.47349,0.28,0.39433,0.41054,0.33246,0.27925,0.2926,0.23263,0.6041,0.62788,0.35535,0.31242,0.21642,0.21649,0.3338,0.41532,0.31337,0.4073,0.34416,0.43814,0.37189,0.48709,0.35447,0.26857,0.41797,0.46362,0.30897,0.39232,0.51849,0.40817,0.48583,0.41351,0.42987,0.28638,0.54804,0.41769,0.62711,0.38033,0.42067,1.0,0.14242,0.31295,0.47586,0.51511,0.45187,0.38318,0.61621,0.22983,0.26025,0.49812,0.53845,0.39988
43,,0.19193,0.19121,0.1792,0.18785,0.11729,0.15739,0.11329,0.2147,0.1242,0.13904,0.22325,0.244,0.18994,0.19421,0.13437,0.0796,0.13938,0.12608,0.27114,0.21731,0.17911,0.17794,0.19991,0.17161,0.2168,0.20566,0.31286,0.15148,0.19074,0.1296,0.1766,0.23432,0.15916,0.22577,0.19697,0.32578,0.16317,0.17578,0.20814,0.11333,0.14459,0.17629,0.14242,1.0,0.11493,0.24074,0.27693,0.23094,0.28274,0.16859,0.17108,0.12181,0.19168,0.30672,0.13677
44,,0.33901,0.27554,0.26634,0.34131,0.20073,0.24575,0.37028,0.33479,0.24923,0.26671,0.2196,0.40679,0.3275,0.27367,0.17327,0.21362,0.29998,0.31614,0.34961,0.25357,0.21125,0.20581,0.27874,0.25723,0.26697,0.24031,0.26772,0.26329,0.24232,0.2056,0.17371,0.28742,0.28582,0.29452,0.27173,0.28666,0.23505,0.32213,0.30346,0.29856,0.16145,0.35857,0.31295,0.11493,1.0,0.28255,0.35546,0.33897,0.2406,0.32993,0.18492,0.11994,0.28997,0.34995,0.2501
45,,0.39226,0.26128,0.27813,0.43395,0.23301,0.44056,0.34493,0.37707,0.29816,0.26323,0.22053,0.58935,0.45338,0.39623,0.30279,0.27692,0.31151,0.31637,0.46584,0.3012,0.32761,0.35069,0.38466,0.41662,0.50855,0.49475,0.29575,0.32871,0.45416,0.28614,0.30411,0.48721,0.35849,0.35405,0.32736,0.45016,0.26775,0.40138,0.52643,0.42764,0.30385,0.42197,0.47586,0.24074,0.28255,1.0,0.53064,0.44212,0.40766,0.40785,0.33364,0.16851,0.33475,0.49411,0.28907
46,,0.47302,0.40673,0.41839,0.436,0.36306,0.42907,0.38739,0.43268,0.33182,0.40123,0.33828,0.58159,0.56878,0.40539,0.44447,0.32462,0.30361,0.27385,0.50374,0.45919,0.49273,0.42167,0.49649,0.49312,0.6165,0.48596,0.43182,0.50031,0.56769,0.44466,0.47225,0.58712,0.50033,0.58562,0.49067,0.49513,0.42621,0.55951,0.5312,0.43677,0.48716,0.43546,0.51511,0.27693,0.35546,0.53064,1.0,0.5952,0.48767,0.60836,0.31654,0.2075,0.41906,0.51384,0.42566
47,,0.41346,0.41849,0.39684,0.45019,0.33556,0.3672,0.34167,0.38245,0.30517,0.32108,0.26627,0.51829,0.48024,0.42027,0.33998,0.28114,0.33619,0.36422,0.47255,0.41907,0.5116,0.46249,0.51492,0.47101,0.55132,0.47948,0.40052,0.55788,0.47115,0.44517,0.50988,0.59617,0.53001,0.56845,0.56435,0.5087,0.38617,0.59823,0.45495,0.36773,0.48543,0.32229,0.45187,0.23094,0.33897,0.44212,0.5952,1.0,0.45497,0.55416,0.27068,0.21958,0.39347,0.50126,0.43889
48,,0.34363,0.35678,0.38867,0.35808,0.33867,0.2743,0.30821,0.33177,0.31013,0.31179,0.27405,0.46328,0.41727,0.36212,0.35151,0.25185,0.25609,0.24299,0.35798,0.3487,0.39981,0.36784,0.45477,0.38989,0.46183,0.39552,0.34517,0.43314,0.43643,0.32219,0.45955,0.4819,0.4036,0.48963,0.45575,0.61456,0.36187,0.41903,0.33836,0.28791,0.40459,0.29612,0.38318,0.28274,0.2406,0.40766,0.48767,0.45497,1.0,0.47123,0.19774,0.31251,0.35929,0.4509,0.30897
49,,0.51879,0.42821,0.4761,0.55236,0.36039,0.4181,0.45686,0.40449,0.40793,0.3997,0.33569,0.62568,0.58661,0.37622,0.46695,0.25437,0.25275,0.39025,0.47113,0.41216,0.58094,0.50962,0.63117,0.47004,0.60116,0.55333,0.38705,0.6399,0.59734,0.48617,0.68903,0.67082,0.57808,0.64662,0.6396,0.47552,0.34854,0.67283,0.50704,0.46351,0.53472,0.30244,0.61621,0.16859,0.32993,0.40785,0.60836,0.55416,0.47123,1.0,0.30917,0.23682,0.44101,0.58977,0.42213
50,,0.26915,0.10064,0.13925,0.23576,0.11276,0.15501,0.15311,0.16322,0.12695,0.1113,0.12957,0.37399,0.27576,0.21176,0.17452,0.07777,0.10424,0.15757,0.28847,0.13683,0.22737,0.20082,0.2172,0.22832,0.26841,0.30488,0.11404,0.24598,0.22078,0.2191,0.20761,0.27763,0.20882,0.22312,0.20444,0.23537,0.14018,0.3035,0.36721,0.24586,0.16415,0.20405,0.22983,0.17108,0.18492,0.33364,0.31654,0.27068,0.19774,0.30917,1.0,0.08369,0.1417,0.25448,0.24164
51,,0.19951,0.15554,0.15028,0.15782,0.16978,0.10054,0.16731,0.12704,0.11619,0.16906,0.08127,0.21694,0.18359,0.19434,0.13156,0.10249,0.12837,0.07657,0.15165,0.15914,0.18283,0.15232,0.23734,0.15803,0.21975,0.15192,0.13013,0.23704,0.22474,0.13406,0.19967,0.2253,0.17052,0.23721,0.2151,0.34393,0.17457,0.20341,0.12968,0.19714,0.18711,0.11764,0.26025,0.12181,0.11994,0.16851,0.2075,0.21958,0.31251,0.23682,0.08369,1.0,0.19594,0.23857,0.15424
52,,0.34531,0.24928,0.29063,0.33288,0.23575,0.20428,0.37197,0.27715,0.20091,0.22103,0.20712,0.45247,0.43484,0.3041,0.22788,0.23213,0.2352,0.30171,0.32376,0.29655,0.31058,0.3172,0.36538,0.31092,0.36854,0.26442,0.19926,0.38754,0.40507,0.26442,0.34632,0.41179,0.3258,0.43352,0.39667,0.37593,0.35241,0.40381,0.29674,0.39542,0.37047,0.31192,0.49812,0.19168,0.28997,0.33475,0.41906,0.39347,0.35929,0.44101,0.1417,0.19594,1.0,0.40308,0.28578
53,,0.50057,0.45999,0.4362,0.59991,0.33481,0.42621,0.40793,0.4966,0.33678,0.38292,0.28531,0.68335,0.57674,0.50801,0.43495,0.23759,0.3903,0.50088,0.56449,0.3974,0.48219,0.47787,0.59922,0.57779,0.60303,0.48988,0.43397,0.52366,0.5249,0.35708,0.4436,0.61892,0.48036,0.57288,0.55777,0.52717,0.28492,0.48458,0.51845,0.44718,0.39182,0.30436,0.53845,0.30672,0.34995,0.49411,0.51384,0.50126,0.4509,0.58977,0.25448,0.23857,0.40308,1.0,0.34107
54,,0.32902,0.23549,0.34089,0.34939,0.22436,0.279,0.23729,0.21736,0.28787,0.24829,0.25508,0.37576,0.36694,0.26857,0.27081,0.16902,0.16092,0.22441,0.33319,0.32006,0.3416,0.29542,0.3974,0.36632,0.35844,0.34398,0.25102,0.3779,0.34681,0.27933,0.33684,0.40925,0.32317,0.40807,0.37966,0.31429,0.27068,0.43785,0.39934,0.36303,0.33382,0.20353,0.39988,0.13677,0.2501,0.28907,0.42566,0.43889,0.30897,0.42213,0.24164,0.15424,0.28578,0.34107,1.0
